area_id,name,uplow,acreage,docregion
51,WEBB TRACT,low,5509.0,High
52,MANDEVILLE ISLAND,low,7316.0,Midrange
53,BACON ISLAND,low,6535.0,Midrange
54,EMPIRE TRACT,low,4909.0,High
55,MCDONALD TRACT,low,3639.0,Midrange
56,BRACK TRACT,low,5072.0,Midrange
57,PALM TRACT,low,2609.0,High
58,RINDGE TRACT,low,7254.0,High
59,JONES TRACT  (LOWER),low,5990.0,Midrange
60,JONES TRACT  (UPPER),low,6746.0,Midrange
61,VICTORIA ISLAND,low,7943.0,Midrange
62,MEDFORD ISLAND,low,1544.0,Midrange
63,BISHOP TRACT,low,2357.0,High
64,KING ISLAND,low,3669.0,High
65,PESCADERO DISTRICT,low,5089.0,Lower
66,PESCADERO DISTRICT,up,3915.0,Lower
67,BRADFORD ISLAND,low,2190.0,High
68,HASTINGS TRACT,low,7539.0,High
69,STEWART TRACT,low,4332.0,Lower
70,RIVER JUNCTION,up,1267.0,Lower
71,VEALE TRACT,low,1516.0,High
72,BRANNON ISLAND,low,7626.0,High
73,YOLANO (COUNTIES 48 & 57),up,13940.0,Lower
74,WOODWARD ISLAND,low,1851.0,Midrange
75,SARGENT-BARNHART TRACT,low,1367.0,High
76,MCMULLIN RANCH,up,1959.0,Lower
77,INACTIVE,up,19637.0,Lower
78,UNNAMED,low,2765.0,High
79,KASSON,up,2414.0,Lower
80,CANAL RANCH,low,3084.0,Midrange
81,CANAL RANCH,up,274.0,Midrange
82,STARK TRACT,low,753.0,Lower
83,LIBERTY ISLAND (COUNTIES 48 & 57),low,4607.0,Midrange
84,WALTHALL TRACT,up,1317.0,Lower
85,PARADISE JUNCTION,up,5966.0,Lower
86,WETHERBEE LAKE,up,386.0,Lower
87,CACHE-HAAS AREA,low,3549.0,Midrange
88,CACHE-HAAS AREA,up,1929.0,Midrange
89,PETER POCKET,up,1477.0,High
90,MOSSDALE 2,low,525.0,Lower
91,MOSSDALE 2,up,1009.0,Lower
92,UNDESIGNATED AREA,low,13709.0,Lower
93,UNDESIGNATED AREA,up,187.0,Lower
94,EHRHARDT CLUB  (ARD),low,601.0,Midrange
95,COSUMNES-MOKELUMNE,up,4424.0,Midrange
96,DEAD HORSE ISLAND,low,223.0,Midrange
97,HOOD AREA,low,281.0,Midrange
98,IDA ISLAND,low,58.0,High
99,LOCKE AREA,low,917.0,Midrange
100,MCCORMACK-WILLIAMSON TRACT,low,1811.0,Midrange
101,STONE LAKE AREA,up,5240.0,Midrange
102,UNDESIGNATED AREA,low,1026.0,High
103,UNDESIGNATED AREA,up,33839.951878296146,High
104,ACKER ISLAND,low,110.0,High
105,ATLAS TRACT,low,340.0,High
106,ATLAS TRACT,up,87.0,High
107,DREXLER TRACT,low,3390.0,Midrange
108,ELMWOOD TRACT,low,939.0,High
109,FERN ISLAND,low,107.0,Midrange
110,HEADREACH ISLAND,low,212.0,Midrange
111,HENNING TRACT,low,2793.0,Midrange
112,HOG ISLAND,low,248.0,High
113,HONKER LAKE TRACT,low,2267.0,Midrange
114,MORRISON ISLAND,low,111.0,High
115,RIO BLANCO TRACT,low,793.0,High
116,SHIMA TRACT,low,1947.0,High
117,SHIN KEE TRACT,low,1569.0,High
118,SPUD ISLAND,low,205.0,Midrange
119,STATEN ISLAND,low,9660.0,High
120,WRIGHT TRACT,low,1522.0,High
121,UNDESIGNATED AREA,low,560.0,High
122,UNDESIGNATED AREA,up,2146.0,High
123,DECKER ISLAND,low,612.0,High
124,LITTLE HOLLAND TRACT,low,673.0,Midrange
125,UNDESIGNATED AREA,low,1200.0,Lower
126,UNDESIGNATED AREA,up,499.0,Lower
127,LITTLE HOLLAND TRACT,low,2429.0,Midrange
128,UNDESIGNATED AREA,up,2609.4705882352937,Lower
129,UNDESINATED AREA,low,524.0,High
130,UNDESIGNATED AREA,up,28085.723139711583,Lower
131,BETHEL ISLAND,low,3521.0,High
132,CONEY ISLAND,low,1071.0,Lower
133,DUTCH SLOUGH AND PORTION OF SAND MOUND SLOUGH,low,222.0,High
134,FALSE RIVERPIPER SL.SAND MOUND SL.& ROCK SLOUGH,low,1537.0,High
135,FISHERMAN CUT WATERWAY,low,112.0,High
136,FRANKS TRACT,low,3660.0,High
137,OLD RIVER HOLLAND CUT AND INDIAN SLOUGH,low,1209.0,High
138,QUIMBY ISLAND,low,966.0,High
139,RHODE ISLAND,low,116.0,High
140,SAN JOAQUIN RIVER WATERWAY,low,2105.0,High
141,SAN JOAQUIN WATERWAY NORTH OF INDUSTRIAL STRIP,low,1537.0,High
142,TAYLOR SLOUGH WATERWAY,low,140.0,High
143,split from island 4,up,7099.0,Lower
144,split from island 17,up,215.0,High
145,split from island 17,up,203.0,High
146,split from island 92,low,627.0,Lower
147,split from island 93,up,6914.0,Lower
148,split from island 93,up,371.0,Lower
149,split from island 102,low,304.0,High
150,split from island 102,low,811.0,High
151,split from island 102,low,508.0,High
152,split from island 102,low,145.0,High
153,split from island 103,up,13830.0,High
154,split from island 103,up,1170.0,High
155,split from island 103,up,1013.0,High
156,split from island 103,up,1762.0,High
157,split from island 103,up,1613.0,High
158,split from island 121,low,5416.0,High
159,split from island 122,up,4729.0,High
160,split from island 122,up,881.0,High
161,split from island 122,up,168.0,High
162,split from island 122,up,486.0,High
163,split from island 122,up,396.0,High
164,split from island 126,up,13546.0,Lower
165,split from island 129,low,1789.0,High
166,split from island 129,low,463.0,High
167,split from island 129,low,3388.0,High
168,split from island 130,up,419.0,Lower
169,BBID in BRYON TRACT,low,2.752788189987163,High
170,BBID in CLIFTON COURT,low,0.0,High
171,BBID in PICO AND NAGLEE,up,9.691310113864702,Lower
172,BBID in UNDESIGNATED AREA,up,93433.21562790699,High
173,BBID in UNDESIGNATED AREA,up,13901.142857142857,Lower
174,BBID in UNDESIGNATED AREA,up,34512.15126249121,Lower
