NEW_SUB	May	 Jun	Jul	     Aug	  Sep	 Oct
96	 0.63	0.36	0.04	0.26	1.31	0.61
97	 0.80	0.46	0.06	0.33	1.65	0.77
98	 0.16	0.09	0.01	0.07	0.34	0.16
99	 2.60	1.49	0.18	1.07	5.39	2.50
100	 5.13	2.95	0.36	2.12	10.64	4.94
102	 7.50	4.31	0.52	3.10	15.56	7.22
104	 0.31	0.18	0.02	0.13	0.65	0.30
105	 0.96	0.55	0.07	0.40	2.00	0.93
107	 9.60	5.52	0.67	3.97	19.92	9.25
108	 2.66	1.53	0.19	1.10	5.52	2.56
109	 0.30	0.17	0.02	0.13	0.63	0.29
110	 0.60	0.34	0.04	0.25	1.24	0.58
111	 7.91	4.55	0.55	3.27	16.42	7.62
112	 0.70	0.40	0.05	0.29	1.46	0.68
113	 6.42	3.69	0.45	2.66	13.32	6.18
114	 0.31	0.18	0.02	0.13	0.65	0.30
115	 2.25	1.29	0.16	0.93	4.66	2.16
116	 5.51	3.17	0.39	2.28	11.44	5.31
117	 4.44	2.55	0.31	1.84	9.22	4.28
118	 0.58	0.33	0.04	0.24	1.21	0.56
119	 27.37	15.72	1.91	11.32	56.78	26.35
120	 4.31	2.48	0.30	1.78	8.94	4.15
121	 16.94	9.73	1.18	7.01	35.13	16.31
123	 1.73	1.00	0.12	0.72	3.60	1.67
124	 1.91	1.10	0.13	0.79	3.95	1.84
125	 3.40	1.95	0.24	1.41	7.05	3.27
127	 6.88	3.95	0.48	2.85	14.28	6.63
129	 17.47	10.03	1.22	7.23	36.24	16.82
131	 9.98	5.73	0.70	4.13	20.70	9.61
132	 3.03	1.74	0.21	1.26	6.29	2.92
133	 0.63	0.36	0.04	0.26	1.31	0.61
134	 4.35	2.50	0.30	1.80	9.03	4.19
135	 0.32	0.18	0.02	0.13	0.66	0.31
136	 10.37	5.96	0.73	4.29	21.52	9.99
137	 3.43	1.97	0.24	1.42	7.11	3.30
138	 2.74	1.57	0.19	1.13	5.68	2.63
139	 0.33	0.19	0.02	0.14	0.68	0.32
140	 5.97	3.43	0.42	2.47	12.38	5.74
141	 4.36	2.50	0.30	1.80	9.03	4.19
142	 0.40	0.23	0.03	0.16	0.82	0.38
